Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,53.990002,54.209999,52.000000,53.959999,53.458347,4028300
2020-06-15,52.299999,55.700001,52.200001,55.000000,54.488682,3407100
2020-06-16,56.849998,56.849998,54.000000,54.470001,53.963608,4089600
2020-06-17,54.709999,57.470001,54.680000,56.590000,56.063900,6227900
2020-06-18,55.910000,57.799999,55.500000,57.799999,57.262650,5527700
2020-06-19,59.099998,59.799999,57.660000,57.660000,57.123951,6359100
2020-06-22,59.919998,60.439999,58.560001,60.200001,59.640339,6286400
2020-06-23,60.759998,61.360001,58.610001,58.700001,58.154285,4970400
2020-06-24,59.000000,60.880001,58.209999,60.070000,59.511547,5083300
2020-06-25,59.959999,60.889999,57.599998,59.270000,58.718983,9457500
2020-06-26,58.919998,58.919998,55.770000,56.299999,55.776596,5141100
2020-06-29,57.029999,57.500000,56.240002,57.200001,56.668228,3463200
2020-06-30,56.470001,57.959999,56.200001,57.700001,57.163582,2856700
2020-07-01,58.740002,59.000000,57.369999,58.900002,58.352425,4079900
2020-07-02,59.270000,59.630001,57.189999,57.590000,57.054604,3382700
2020-07-03,57.520000,58.310001,57.360001,57.880001,57.341908,1092800
2020-07-06,59.099998,59.660000,58.220001,59.169998,58.619911,2252200
2020-07-07,58.900002,58.900002,57.650002,57.689999,57.153671,2546000
2020-07-08,58.000000,59.150002,57.869999,58.750000,58.203819,2192700
2020-07-09,58.290001,58.639999,57.060001,58.150002,57.609398,3277000
2020-07-10,57.599998,58.869999,57.299999,58.720001,58.174099,3509600
2020-07-13,58.540001,58.810001,56.860001,56.860001,56.331390,2930800
2020-07-14,56.549999,57.500000,56.000000,56.799999,56.271946,3255900
2020-07-15,57.299999,62.040001,56.980000,61.380001,60.809368,10330600
2020-07-16,61.150002,62.349998,59.660000,60.000000,59.442196,3848800
2020-07-17,60.000000,63.880001,60.000000,63.880001,63.286125,4751500
2020-07-20,63.639999,63.720001,61.910000,62.610001,62.027935,3467900
2020-07-21,63.000000,63.029999,61.220001,62.150002,61.572212,3306800
2020-07-22,62.389999,63.220001,61.700001,63.220001,62.632263,2306700
2020-07-23,63.169998,63.459999,60.830002,61.200001,60.631042,3495900
2020-07-24,61.349998,61.759998,60.189999,61.540001,60.967880,2027800
2020-07-27,61.650002,62.000000,60.200001,60.889999,60.323921,3430400
2020-07-28,60.660000,60.770000,59.639999,60.119999,59.561081,2704900
2020-07-29,59.720001,60.310001,58.660000,58.959999,58.411865,4984700
2020-07-30,58.500000,59.700001,58.500000,59.139999,58.590191,2650300
2020-07-31,60.169998,61.340000,59.259998,60.849998,60.284294,5915800
2020-08-03,60.790001,61.290001,59.720001,60.139999,59.580894,2452500
2020-08-04,59.889999,59.889999,57.820000,58.869999,58.322701,2897400
2020-08-05,59.389999,59.750000,57.930000,58.450001,57.906609,2236100
2020-08-06,58.450001,59.619999,57.869999,59.619999,59.065727,2868600
2020-08-07,58.700001,59.740002,58.270000,59.490002,58.936939,2105000
2020-08-10,59.470001,59.490002,57.570000,58.990002,58.441589,2341300
2020-08-11,59.099998,59.340000,56.900002,57.130001,56.598881,2945700
2020-08-12,57.310001,57.500000,55.490002,56.470001,55.945015,3784800
2020-08-13,56.700001,57.110001,55.270000,56.099998,55.578453,2967100
2020-08-14,56.500000,56.599998,55.279999,56.419998,55.895477,2617600
2020-08-17,56.389999,56.389999,53.349998,54.509998,54.003235,3252800
2020-08-18,55.200001,55.619999,54.480000,55.549999,55.033566,3143600
2020-08-19,55.099998,55.529999,49.599998,52.750000,52.259598,23076000
2020-08-20,52.040001,52.470001,51.160000,51.490002,51.011314,6776800
2020-08-21,51.310001,52.090000,50.619999,51.889999,51.407593,4713900
2020-08-24,52.029999,52.400002,50.549999,51.349998,50.872612,3933900
2020-08-25,51.290001,52.750000,50.720001,51.939999,51.457127,3902700
2020-08-26,51.950001,52.139999,49.509998,50.209999,49.743210,4250700
2020-08-27,50.299999,51.389999,49.910000,50.549999,50.080051,3309200
2020-08-28,50.490002,51.290001,50.090000,50.180000,49.713490,3639800
2020-08-31,49.980000,50.180000,47.750000,47.750000,47.306084,6406600
2020-09-01,47.990002,49.680000,47.660000,49.349998,48.891205,6278500
2020-09-02,49.950001,50.490002,49.189999,50.299999,49.832375,4733800
2020-09-03,50.290001,50.599998,48.599998,48.990002,48.534557,4196300
2020-09-04,48.910000,49.630001,48.009998,49.160000,48.702972,3769500
2020-09-08,48.880001,49.580002,48.360001,49.189999,48.732693,4381100
2020-09-09,49.500000,50.570000,49.500000,50.099998,49.634232,2778900
2020-09-10,50.299999,50.310001,47.700001,48.119999,47.672642,4053700
2020-09-11,48.110001,48.119999,46.200001,46.950001,46.513519,4636400
2020-09-14,47.250000,47.930000,47.000000,47.650002,47.207012,2208100
2020-09-15,47.709999,48.020000,46.610001,46.799999,46.364914,2551300
2020-09-16,46.860001,47.639999,46.500000,46.880001,46.444172,2521100
2020-09-17,46.500000,47.529999,45.709999,47.490002,47.048500,4636900
2020-09-18,47.669998,48.430000,46.380001,47.470001,47.028687,4997800
2020-09-21,46.790001,47.160000,45.799999,47.160000,46.721565,2665900
2020-09-22,47.549999,48.330002,47.020000,48.299999,47.850967,3712700
2020-09-23,47.790001,48.779999,47.450001,47.770000,47.325897,2934400
2020-09-24,47.810001,49.279999,47.509998,48.200001,47.751900,3994900
2020-09-25,47.610001,48.560001,47.130001,48.310001,47.860878,3551400
2020-09-28,48.790001,49.150002,46.000000,46.700001,46.265842,3429200
2020-09-29,46.500000,47.240002,45.709999,46.930000,46.493706,2936400
2020-09-30,47.299999,47.610001,46.099998,46.799999,46.364914,4568100
2020-10-01,46.660000,47.200001,46.119999,47.090000,46.652218,2655800
2020-10-02,46.849998,47.709999,45.400002,45.459999,45.037369,4972200
2020-10-05,45.459999,46.119999,44.910000,45.830002,45.403934,3240300
2020-10-06,46.200001,46.419998,45.360001,45.689999,45.265232,2133300
2020-10-07,45.820000,45.869999,44.639999,45.340000,44.918488,1945300
2020-10-08,45.320000,45.910000,44.950001,45.910000,45.483189,2182600
2020-10-09,45.439999,46.230000,45.230000,45.250000,44.829323,1816400
2020-10-13,45.230000,47.290001,44.820000,46.700001,46.265842,5742200
2020-10-14,46.630001,46.990002,45.889999,46.700001,46.265842,2885400
2020-10-15,46.139999,46.369999,45.400002,46.000000,45.572350,2236500
2020-10-16,45.980000,46.049999,45.150002,45.150002,44.730255,1982300
2020-10-19,45.200001,46.580002,45.200001,45.590000,45.166164,3025800
2020-10-20,45.849998,46.209999,45.410000,45.770000,45.344490,3373200
2020-10-21,45.599998,45.770000,44.970001,45.439999,45.017555,1874600
2020-10-22,45.290001,46.200001,44.639999,46.160000,45.730862,3337600
2020-10-23,46.200001,46.490002,45.320000,46.029999,45.602070,3492300
2020-10-26,45.939999,47.130001,45.639999,46.570000,46.137051,2055600
2020-10-27,46.529999,46.599998,45.380001,45.380001,44.958115,2956100
2020-10-28,44.700001,44.709999,43.419998,43.500000,43.095592,2655600
2020-10-29,43.939999,43.950001,42.680000,43.889999,43.481968,5162200
2020-10-30,43.700001,43.700001,42.070000,42.500000,42.104889,4300800
2020-11-03,43.189999,43.700001,41.959999,43.200001,42.798382,3678100
2020-11-04,43.500000,45.040001,43.250000,43.880001,43.472061,3821800
2020-11-05,44.650002,45.410000,44.099998,45.299999,44.878857,3037500
2020-11-06,44.980000,45.820000,44.560001,45.759998,45.334579,2647900
